,ip,app,device,os,channel,is_attributed,days,hours,minutes,seconds
0,87540,12,1,13,497,0,7,9,30,38
1,105560,25,1,17,259,0,7,13,40,27
2,101424,12,1,19,212,0,7,18,5,24
3,94584,13,1,13,477,0,7,4,58,8
4,68413,12,1,1,178,0,9,9,0,9
5,93663,3,1,17,115,0,9,1,22,13
6,17059,1,1,17,135,0,9,1,17,58
7,121505,9,1,25,442,0,7,10,1,53
8,192967,2,2,22,364,0,8,9,35,17
9,143636,3,1,19,135,0,8,12,35,26
10,73839,3,1,22,489,0,8,8,14,37
11,34812,3,1,13,489,0,7,5,3,14
12,114809,3,1,22,205,0,9,10,24,23
13,114220,6,1,20,125,0,8,14,46,16
14,36150,2,1,13,205,0,7,0,54,9
15,72116,25,2,19,259,0,8,23,17,45
16,5314,2,1,2,477,0,9,7,33,41
17,106598,3,1,20,280,0,9,3,44,35
18,72065,20,2,90,259,0,6,23,14,8
19,37301,14,1,13,349,0,6,20,7,0
20,28735,12,1,19,265,0,9,9,55,22
21,66918,64,1,25,459,0,8,17,1,58
22,25761,9,1,10,215,0,8,2,5,37
23,8362,7,1,19,101,0,7,10,30,0
24,45257,3,1,18,280,0,7,1,35,31
25,145896,64,1,13,459,0,7,3,58,58
26,162976,3,1,13,115,0,7,16,19,5
27,52432,1,1,13,115,0,7,17,22,52
28,135690,12,1,40,122,0,7,6,39,4
29,139137,12,1,13,497,0,7,10,11,50
30,48846,3,1,19,379,0,9,3,14,43
31,70747,64,1,15,459,0,7,14,0,50
32,10831,15,1,19,386,0,9,12,39,11
33,89242,1,1,27,124,0,7,9,37,21
34,140138,12,1,13,265,0,7,7,1,20
35,28411,14,1,13,442,0,6,23,45,32
36,127888,13,1,23,477,0,6,16,24,24
37,75943,2,1,53,477,0,7,13,28,54
38,87879,3,1,13,115,0,7,3,20,59
39,250933,3,1,13,280,0,8,11,9,48
40,133933,12,1,13,140,0,7,11,11,53
41,35096,18,1,19,107,0,9,15,26,37
42,49431,15,1,49,245,0,7,23,11,39
43,53365,15,1,19,111,0,9,4,23,1
44,92599,25,2,13,259,0,9,10,4,27
45,107148,15,1,13,140,0,7,0,49,13
46,116677,9,1,13,134,0,8,0,56,33
47,11051,15,1,19,245,0,8,2,14,22
48,48240,2,1,19,122,0,8,14,40,36
49,92488,14,1,18,401,0,8,17,33,47
50,74999,11,1,13,137,0,9,15,17,12
51,123221,15,1,20,245,0,7,15,31,6
52,4019,12,1,19,265,0,9,1,10,59
53,40168,8,1,13,145,0,7,2,22,7
54,328403,15,1,13,278,0,9,3,20,31
55,134466,64,1,13,459,0,8,10,42,25
56,122354,9,1,19,134,0,7,23,16,58
57,104645,14,1,19,379,0,9,12,57,0
58,184757,3,1,13,409,0,8,9,31,27
59,3488,3,1,22,115,0,7,0,12,44
60,63994,3,1,13,115,0,7,3,21,3
61,52076,23,1,10,153,0,8,16,41,39
62,88604,6,1,17,459,0,6,16,28,6
63,9073,3,1,37,466,0,8,4,55,0
64,105861,3,1,10,442,0,6,20,25,19
65,25114,18,1,13,107,0,8,2,7,55
66,25876,21,1,26,128,0,8,9,57,39
67,61941,64,1,41,459,0,7,23,7,23
68,79827,11,1,19,481,0,8,18,21,9
69,99641,15,1,22,386,0,8,3,46,58
